5812,66,"จังหวัดพิจิตร ",0," ",0," ",0," ","267,318","278,639","545,957","187,595",
5812,67,"จังหวัดเพชรบูรณ์ ",0," ",0," ",0," ","494,575","502,411","996,986","338,356",
5812,70,"จังหวัดราชบุรี ",0," ",0," ",0," ","423,298","444,585","867,883","299,569",
5812,71,"จังหวัดกาญจนบุรี ",0," ",0," ",0," ","443,772","438,374","882,146","323,122",
5812,72,"จังหวัดสุพรรณบุรี ",0," ",0," ",0," ","411,295","438,404","849,699","287,985",
5812,73,"จังหวัดนครปฐม ",0," ",0," ",0," ","431,996","467,346","899,342","368,960",
5812,74,"จังหวัดสมุทรสาคร ",0," ",0," ",0," ","263,436","282,018","545,454","265,372",
5812,75,"จังหวัดสมุทรสงคราม ",0," ",0," ",0," ","93,405","100,971","194,376","66,902",
5812,76,"จังหวัดเพชรบุรี ",0," ",0," ",0," ","231,747","246,842","478,589","200,113",
5812,77,"จังหวัดประจวบคีรีขันธ์ ",0," ",0," ",0," ","264,901","269,818","534,719","241,921",
5812,80,"จังหวัดนครศรีธรรมราช ",0," ",0," ",0," ","768,887","783,643","1,552,530","541,900",
5812,81,"จังหวัดกระบี่ ",0," ",0," ",0," ","229,941","232,160","462,101","172,459",
5812,82,"จังหวัดพังงา ",0," ",0," ",0," ","131,942","132,132","264,074","108,345",
5812,83,"จังหวัดภูเก็ต ",0," ",0," ",0," ","183,132","203,473","386,605","235,922",
5812,84,"จังหวัดสุราษฎร์ธานี ",0," ",0," ",0," ","517,217","529,555","1,046,772","466,857",
5812,85,"จังหวัดระนอง ",0," ",0," ",0," ","94,726","92,810","187,536","85,417",
5812,86,"จังหวัดชุมพร ",0," ",0," ",0," ","250,943","254,887","505,830","221,370",
5812,90,"จังหวัดสงขลา ",0," ",0," ",0," ","688,462","722,115","1,410,577","508,600",
5812,91,"จังหวัดสตูล ",0," ",0," ",0," ","157,258","158,665","315,923","98,604",
5812,92,"จังหวัดตรัง ",0," ",0," ",0," ","313,899","326,894","640,793","220,647",
5812,93,"จังหวัดพัทลุง ",0," ",0," ",0," ","255,365","267,358","522,723","184,427",
5812,94,"จังหวัดปัตตานี ",0," ",0," ",0," ","343,757","350,266","694,023","178,133",
5812,95,"จังหวัดยะลา ",0," ",0," ",0," ","257,124","261,015","518,139","155,370",
5812,96,"จังหวัดนราธิวาส ",0," ",0," ",0," ","387,631","395,451","783,082","201,760",
